fault_file,fault_id,detection_rate,detected_count,num_fault_samples,first_detect_idx,delay_samples
d01_te.dat,d01,0.9974968710888611,797,799,163,3
d02_te.dat,d02,0.986232790988736,788,799,172,12
d03_te.dat,d03,0.03254067584480601,26,799,180,20
d04_te.dat,d04,0.9887359198998749,790,799,162,2
d05_te.dat,d05,0.27033792240300375,216,799,161,1
d06_te.dat,d06,1.0,799,799,161,1
d07_te.dat,d07,1.0,799,799,161,1
d08_te.dat,d08,0.9737171464330413,778,799,179,19
d09_te.dat,d09,0.02252816020025031,18,799,224,64
d10_te.dat,d10,0.2453066332916145,196,799,186,26
d11_te.dat,d11,0.7171464330413017,573,799,165,5
d12_te.dat,d12,0.9624530663329162,769,799,162,2
d13_te.dat,d13,0.9549436795994993,763,799,196,36
d14_te.dat,d14,1.0,799,799,161,1
d15_te.dat,d15,0.026282853566958697,21,799,237,77
d16_te.dat,d16,0.2127659574468085,170,799,171,11
d17_te.dat,d17,0.9249061326658323,739,799,184,24
d18_te.dat,d18,0.9036295369211514,722,799,220,60
d19_te.dat,d19,0.25406758448060074,203,799,170,10
d20_te.dat,d20,0.4793491864831039,383,799,242,82
d21_te.dat,d21,0.45431789737171463,363,799,173,13
